img1,img2,is_same_person,model,backend,similarity_metric,distance,threshold,similarity,verified,result_type
019015.jpg,029414.jpg,True,Facenet,ssd,cosine,0.4524760654460812,0.4,54.75,False,FN
019015.jpg,029414.jpg,True,Facenet,ssd,euclidean,11.222004903952948,10.0,N/A,False,FN
019015.jpg,029414.jpg,True,Facenet,mtcnn,cosine,0.3826533124285788,0.4,61.73,True,TP
019015.jpg,029414.jpg,True,Facenet,mtcnn,euclidean,10.407232816242699,10.0,N/A,False,FN
019015.jpg,029414.jpg,True,Facenet,retinaface,cosine,0.4639564135996309,0.4,53.6,False,FN
019015.jpg,029414.jpg,True,Facenet,retinaface,euclidean,11.616412559876542,10.0,N/A,False,FN
019015.jpg,029414.jpg,True,OpenFace,ssd,cosine,0.20035357848695978,0.1,79.96,False,FN
019015.jpg,029414.jpg,True,OpenFace,ssd,euclidean,0.6330142942432276,0.55,N/A,False,FN
019015.jpg,029414.jpg,True,OpenFace,mtcnn,cosine,0.20375242868739163,0.1,79.62,False,FN
019015.jpg,029414.jpg,True,OpenFace,mtcnn,euclidean,0.6383611136080946,0.55,N/A,False,FN
019015.jpg,029414.jpg,True,OpenFace,retinaface,cosine,0.21676878925665566,0.1,78.32,False,FN
019015.jpg,029414.jpg,True,OpenFace,retinaface,euclidean,0.65843571215901,0.55,N/A,False,FN
019015.jpg,029414.jpg,True,ArcFace,ssd,cosine,0.7282989059545482,0.68,27.17,False,FN
019015.jpg,029414.jpg,True,ArcFace,ssd,euclidean,2.7593914793569607,4.15,N/A,True,TP
019015.jpg,029414.jpg,True,ArcFace,mtcnn,cosine,0.7237900519943707,0.68,27.62,False,FN
019015.jpg,029414.jpg,True,ArcFace,mtcnn,euclidean,3.334627244083247,4.15,N/A,True,TP
019015.jpg,029414.jpg,True,ArcFace,retinaface,cosine,0.6828789338705266,0.68,31.71,False,FN
019015.jpg,029414.jpg,True,ArcFace,retinaface,euclidean,2.9196088842477335,4.15,N/A,True,TP
